Description,Quantity,Unit,Rate
Site clearance,1,job,15000
Excavation for foundation,120,cum,250
PCC below footing,60,cum,4200
RCC footing,40,cum,7800
Plinth beam concrete,25,cum,8200
Backfilling with earth,90,cum,180
Brickwork in foundation,85,cum,5200
Damp proof course,150,sqm,320
RCC column up to plinth,18,cum,8500
RCC slab – ground floor,140,sqm,950
Brickwork in superstructure,160,cum,5600
Internal plastering,520,sqm,180
External plastering,380,sqm,220
Flooring – vitrified tiles,240,sqm,1250
Skirting tiles,180,rm,220
Ceiling plaster,240,sqm,190
Primer coat painting,600,sqm,35
Emulsion paint – 2 coats,600,sqm,85
Exterior weatherproof paint,380,sqm,120
Main door – teak wood,1,no,28000
Internal flush doors,8,no,4500
Aluminium windows,12,no,6200
Kitchen granite counter,6,rm,3200
Stainless steel sink,1,no,4500
CPVC plumbing piping,1,job,18000
Sanitary fixtures set,2,set,14000
Electrical wiring,1,job,26000
Switches & sockets,35,no,180
LED light fixtures,20,no,650
Distribution board,1,no,4200
Terrace waterproofing,140,sqm,380
Parapet wall plaster,120,sqm,210
Overhead water tank,1,no,9000
Compound wall masonry,55,rm,2400
Gate fabrication,1,no,18500
Site cleaning & handover,1,job,8000
